time	V(salida)
1.773572412964005e-003	5.120418e-003
1.777757680821148e-003	6.093788e-003
1.781942948678291e-003	7.068855e-003
1.788918395106862e-003	8.696466e-003
1.795893841535434e-003	1.028444e-002
1.802869287964005e-003	1.183276e-002
1.809844734392576e-003	1.334145e-002
1.816820180821147e-003	1.481049e-002
1.823795627249719e-003	1.623990e-002
1.830771073678290e-003	1.762966e-002
1.840885470999718e-003	1.954168e-002
1.850999868321147e-003	2.124443e-002
1.861114265642575e-003	2.273791e-002
1.871228662964003e-003	2.402211e-002
1.881343060285432e-003	2.509703e-002
1.891457457606860e-003	2.596268e-002
1.901571854928288e-003	2.661905e-002
1.916220292428288e-003	2.703108e-002
1.930868729928288e-003	2.687422e-002
1.945517167428288e-003	2.614844e-002
1.960165604928287e-003	2.485377e-002
1.974814042428287e-003	2.299019e-002
1.989462479928286e-003	2.055772e-002
2.004110917428286e-003	1.755634e-002
2.010737591535429e-003	1.604502e-002
2.017364265642572e-003	1.445908e-002
2.023990939749714e-003	1.279851e-002
2.030617613856857e-003	1.106333e-002
2.037244287964000e-003	9.253528e-003
2.043870962071143e-003	7.369103e-003
2.050497636178285e-003	5.410057e-003
2.057821854928285e-003	3.206360e-003
2.065146073678285e-003	9.531670e-004
2.067587479928285e-003	1.930562e-004
2.072470292428285e-003	-1.338159e-003
2.077004332606856e-003	-2.777925e-003
2.081538372785427e-003	-4.217656e-003
2.086072412963999e-003	-5.657353e-003
2.090606453142570e-003	-7.097015e-003
2.095140493321141e-003	-8.536642e-003
2.099674533499712e-003	-9.976235e-003
2.104208573678284e-003	-1.141579e-002
2.111532792428284e-003	-1.373696e-002
2.118857011178284e-003	-1.598693e-002
2.126181229928283e-003	-1.816569e-002
2.133505448678283e-003	-2.027324e-002
2.140829667428283e-003	-2.230958e-002
2.148153886178283e-003	-2.427472e-002
2.155478104928283e-003	-2.616866e-002
2.166290046892568e-003	-2.877816e-002
2.177101988856854e-003	-3.103423e-002
2.187913930821139e-003	-3.293685e-002
2.198725872785425e-003	-3.448604e-002
2.209537814749710e-003	-3.568178e-002
2.220349756713996e-003	-3.652409e-002
2.231161698678281e-003	-3.701295e-002
2.244066274571138e-003	-3.693900e-002
2.256970850463995e-003	-3.626367e-002
2.269875426356852e-003	-3.498696e-002
2.282780002249709e-003	-3.310888e-002
2.295684578142566e-003	-3.062942e-002
2.308589154035422e-003	-2.754859e-002
2.321493729928279e-003	-2.386638e-002
2.328120404035422e-003	-2.178463e-002
2.334747078142565e-003	-1.960150e-002
2.341373752249707e-003	-1.731698e-002
2.348000426356850e-003	-1.493108e-002
2.354627100463993e-003	-1.244380e-002
2.361253774571136e-003	-9.855126e-003
2.367880448678278e-003	-7.165072e-003
2.375204667428278e-003	-4.140499e-003
2.380087479928278e-003	-2.086198e-003
2.384970292428278e-003	-6.914054e-006
2.389853104928278e-003	2.092651e-003
2.394387145106849e-003	4.066276e-003
2.398921185285420e-003	6.039319e-003
2.403455225463992e-003	8.011777e-003
2.407989265642563e-003	9.983652e-003
2.412523305821135e-003	1.195494e-002
2.417057345999706e-003	1.392565e-002
2.421591386178277e-003	1.589578e-002
2.428915604928277e-003	1.907122e-002
2.436239823678277e-003	2.214774e-002
2.443564042428277e-003	2.512534e-002
2.450888261178277e-003	2.800403e-002
2.458212479928276e-003	3.078379e-002
2.465536698678276e-003	3.346464e-002
2.472860917428276e-003	3.604657e-002
2.487509354928276e-003	4.064302e-002
2.497274979928276e-003	4.330366e-002
2.499000000000000e-003	4.374070e-002
