time	V(salida)
1.370421945205167e-003	1.787591e-003
1.378443708598024e-003	1.500302e-003
1.386465471990881e-003	1.199102e-003
1.391348284490881e-003	1.013370e-003
1.396231096990881e-003	8.263551e-004
1.401113909490880e-003	6.380567e-004
1.405996721990880e-003	4.484749e-004
1.410879534490880e-003	2.576099e-004
1.415762346990880e-003	6.546158e-005
1.420645159490880e-003	-1.279700e-004
1.426225516633737e-003	-3.490074e-004
1.431805873776594e-003	-5.673020e-004
1.437386230919451e-003	-7.828537e-004
1.442966588062308e-003	-9.956625e-004
1.448546945205165e-003	-1.205728e-003
1.454127302348022e-003	-1.413052e-003
1.459707659490879e-003	-1.617632e-003
1.468775739848022e-003	-1.942015e-003
1.477843820205165e-003	-2.244881e-003
1.486911900562307e-003	-2.526230e-003
1.495979980919450e-003	-2.786061e-003
1.505048061276593e-003	-3.024374e-003
1.514116141633735e-003	-3.241170e-003
1.523184221990878e-003	-3.436449e-003
1.540622838062306e-003	-3.721387e-003
1.558061454133734e-003	-3.891579e-003
1.575500070205163e-003	-3.947025e-003
1.592938686276591e-003	-3.887723e-003
1.610377302348019e-003	-3.713674e-003
1.627815918419447e-003	-3.424879e-003
1.645254534490875e-003	-3.021337e-003
1.653276297883732e-003	-2.804193e-003
1.661298061276589e-003	-2.573089e-003
1.669319824669446e-003	-2.328023e-003
1.677341588062303e-003	-2.068996e-003
1.685363351455160e-003	-1.796007e-003
1.693385114848017e-003	-1.509057e-003
1.701406878240874e-003	-1.208145e-003
1.706289690740874e-003	-1.022557e-003
1.711172503240874e-003	-8.356637e-004
1.716055315740874e-003	-6.474645e-004
1.720938128240874e-003	-4.579597e-004
1.725820940740874e-003	-2.671494e-004
1.730703753240873e-003	-7.503336e-005
1.735586565740873e-003	1.183882e-004
1.741166922883730e-003	3.394432e-004
1.746747280026587e-003	5.577842e-004
1.752327637169444e-003	7.734114e-004
1.757907994312302e-003	9.863246e-004
1.763488351455159e-003	1.196524e-003
1.769068708598016e-003	1.404009e-003
1.774649065740873e-003	1.608781e-003
1.783717146098015e-003	1.933543e-003
1.792785226455158e-003	2.236846e-003
1.801853306812301e-003	2.518690e-003
1.810921387169443e-003	2.779076e-003
1.819989467526586e-003	3.018003e-003
1.829057547883728e-003	3.235472e-003
1.838125628240871e-003	3.431481e-003
1.855564244312299e-003	3.718035e-003
1.873002860383728e-003	3.889824e-003
1.890441476455156e-003	3.946848e-003
1.907880092526584e-003	3.889108e-003
1.925318708598012e-003	3.716603e-003
1.942757324669441e-003	3.429333e-003
1.960195940740869e-003	3.027299e-003
1.968217704133726e-003	2.810744e-003
1.976239467526582e-003	2.580177e-003
1.984261230919440e-003	2.335599e-003
1.992282994312296e-003	2.077011e-003
2.000304757705154e-003	1.804411e-003
2.008326521098010e-003	1.517801e-003
2.016348284490867e-003	1.217180e-003
2.021231096990867e-003	1.031737e-003
2.026113909490867e-003	8.449662e-004
2.030996721990867e-003	6.568673e-004
2.035879534490867e-003	4.674406e-004
2.040762346990867e-003	2.766859e-004
2.045645159490867e-003	8.460339e-005
2.050527971990867e-003	-1.088071e-004
2.056108329133724e-003	-3.298782e-004
2.061688686276581e-003	-5.482645e-004
2.067269043419438e-003	-7.639658e-004
2.072849400562295e-003	-9.769822e-004
2.078429757705152e-003	-1.187314e-003
2.084010114848009e-003	-1.394960e-003
2.089590471990866e-003	-1.599922e-003
2.098658552348008e-003	-1.925060e-003
2.107726632705151e-003	-2.228799e-003
2.116794713062294e-003	-2.511137e-003
2.125862793419437e-003	-2.772076e-003
2.134930873776579e-003	-3.011615e-003
2.143998954133722e-003	-3.229755e-003
2.153067034490864e-003	-3.426494e-003
2.170505650562293e-003	-3.714660e-003
2.187944266633721e-003	-3.888045e-003
2.205382882705149e-003	-3.946648e-003
2.222821498776577e-003	-3.890469e-003
2.240260114848005e-003	-3.719509e-003
2.257698730919434e-003	-3.433767e-003
2.275137346990862e-003	-3.033244e-003
2.283159110383719e-003	-2.817277e-003
2.291180873776576e-003	-2.587249e-003
2.299202637169433e-003	-2.343161e-003
2.307224400562290e-003	-2.085013e-003
2.315246163955147e-003	-1.812804e-003
2.323267927348004e-003	-1.526536e-003
2.331289690740861e-003	-1.226207e-003
2.336172503240861e-003	-1.040910e-003
2.341055315740860e-003	-8.542624e-004
2.345938128240860e-003	-6.662651e-004
2.350820940740860e-003	-4.769175e-004
2.355703753240860e-003	-2.862197e-004
2.360586565740860e-003	-9.417170e-005
2.365469378240860e-003	9.922652e-005
2.371049735383717e-003	3.203126e-004
2.376630092526574e-003	5.387428e-004
2.382210449669431e-003	7.545170e-004
2.387790806812288e-003	9.676353e-004
2.393371163955145e-003	1.178098e-003
2.398951521098002e-003	1.385904e-003
2.404531878240859e-003	1.591054e-003
2.413251186276573e-003	1.903960e-003
2.421970494312287e-003	2.197390e-003
2.430689802348001e-003	2.471345e-003
2.439409110383716e-003	2.725824e-003
2.448128418419430e-003	2.960827e-003
2.456847726455144e-003	3.176355e-003
2.465567034490858e-003	3.372408e-003
2.468357213062286e-003	3.428429e-003
2.471147391633715e-003	3.481703e-003
2.473937570205143e-003	3.532227e-003
2.476727748776572e-003	3.580004e-003
2.479517927348000e-003	3.625032e-003
2.482308105919429e-003	3.667312e-003
2.485098284490857e-003	3.706843e-003
2.487539690740857e-003	3.739004e-003
2.497305315740857e-003	3.845509e-003
2.499000000000000e-003	3.860673e-003
