time	V(n002)
7.903791295016752e-004	-7.286793e-001
8.008422991445321e-004	-7.424326e-001
8.113054687873890e-004	-7.459466e-001
8.207223214659603e-004	-7.419123e-001
8.301391741445315e-004	-7.330548e-001
8.395560268231028e-004	-7.193740e-001
8.489728795016740e-004	-7.008701e-001
8.583897321802451e-004	-6.775429e-001
8.678065848588164e-004	-6.493925e-001
8.772234375373876e-004	-6.164188e-001
8.859427455731018e-004	-5.835411e-001
8.946620536088158e-004	-5.494680e-001
9.033813616445299e-004	-5.141992e-001
9.121006696802440e-004	-4.777350e-001
9.208199777159581e-004	-4.400753e-001
9.295392857516723e-004	-4.012201e-001
9.382585937873863e-004	-3.611693e-001
9.455828125373862e-004	-3.278922e-001
9.529070312873860e-004	-2.951495e-001
9.602312500373860e-004	-2.629411e-001
9.675554687873858e-004	-2.312671e-001
9.748796875373856e-004	-2.001274e-001
9.822039062873855e-004	-1.695221e-001
9.895281250373853e-004	-1.394511e-001
9.968523437873852e-004	-1.106818e-001
1.004176562537385e-003	-8.297308e-002
1.009059375037385e-003	-6.513178e-002
1.011500781287385e-003	-5.640902e-002
1.013942187537385e-003	-4.782166e-002
1.016383593787385e-003	-3.937214e-002
1.018825000037385e-003	-3.106280e-002
1.021266406287385e-003	-2.289582e-002
1.023707812537385e-003	-1.487328e-002
1.026149218787385e-003	-6.997107e-003
1.028590625037385e-003	7.308720e-004
1.031032031287384e-003	8.308965e-003
1.033473437537384e-003	1.573560e-002
1.035914843787384e-003	2.300932e-002
1.038356250037384e-003	3.012878e-002
1.043239062537384e-003	4.390021e-002
1.048121875037384e-003	5.704150e-002
1.053004687537384e-003	6.954607e-002
1.060328906287384e-003	8.709896e-002
1.067653125037384e-003	1.031995e-001
1.074977343787384e-003	1.178463e-001
1.082301562537383e-003	1.310461e-001
1.093113504501669e-003	1.475843e-001
1.103925446465954e-003	1.613829e-001
1.114737388430240e-003	1.724418e-001
1.125549330394525e-003	1.807610e-001
1.136361272358811e-003	1.863405e-001
1.147173214323096e-003	1.891804e-001
1.157985156287382e-003	1.892806e-001
1.167402008965953e-003	1.875936e-001
1.176818861644524e-003	1.847382e-001
1.186235714323095e-003	1.807142e-001
1.195652567001667e-003	1.755216e-001
1.205069419680238e-003	1.691606e-001
1.214486272358809e-003	1.616309e-001
1.223903125037380e-003	1.529328e-001
1.232622433073094e-003	1.443359e-001
1.241341741108809e-003	1.354763e-001
1.250061049144523e-003	1.263540e-001
1.258780357180237e-003	1.169689e-001
1.267499665215951e-003	1.073212e-001
1.276218973251665e-003	9.741070e-002
1.284938281287379e-003	8.723751e-002
1.292262500037379e-003	7.881030e-002
1.299586718787379e-003	7.053716e-002
1.306910937537379e-003	6.241809e-002
1.314235156287378e-003	5.445309e-002
1.321559375037378e-003	4.664215e-002
1.328883593787378e-003	3.898529e-002
1.336207812537378e-003	3.148249e-002
1.343532031287378e-003	2.431952e-002
1.350856250037378e-003	1.743751e-002
1.355739062537378e-003	1.301550e-002
1.360621875037377e-003	8.732448e-003
1.363063281287377e-003	6.644520e-003
1.365504687537377e-003	4.593048e-003
1.367946093787377e-003	2.578541e-003
1.370387500037377e-003	6.014709e-004
1.372828906287377e-003	-1.337719e-003
1.375270312537377e-003	-3.238615e-003
1.377711718787377e-003	-5.100838e-003
1.380153125037377e-003	-6.924036e-003
1.385035937537377e-003	-1.045210e-002
1.389918750037377e-003	-1.382059e-002
1.394801562537377e-003	-1.702775e-002
1.402125781287377e-003	-2.153321e-002
1.409450000037376e-003	-2.567015e-002
1.416774218787376e-003	-2.943801e-002
1.424098437537376e-003	-3.283817e-002
1.434910379501662e-003	-3.710943e-002
1.445722321465947e-003	-4.068196e-002
1.456534263430233e-003	-4.355574e-002
1.467346205394518e-003	-4.573078e-002
1.478158147358804e-003	-4.720708e-002
1.488970089323089e-003	-4.798463e-002
1.499782031287375e-003	-4.806345e-002
1.509547656287374e-003	-4.764853e-002
1.519313281287374e-003	-4.691551e-002
1.529078906287374e-003	-4.586440e-002
1.538844531287374e-003	-4.449518e-002
1.548610156287373e-003	-4.280785e-002
1.558375781287373e-003	-4.080243e-002
1.568141406287373e-003	-3.847891e-002
1.576860714323087e-003	-3.627407e-002
1.585580022358801e-003	-3.400635e-002
1.594299330394515e-003	-3.167574e-002
1.603018638430229e-003	-2.928226e-002
1.611737946465944e-003	-2.682589e-002
1.620457254501658e-003	-2.430665e-002
1.629176562537372e-003	-2.172452e-002
1.636500781287372e-003	-1.958791e-002
1.643825000037371e-003	-1.749211e-002
1.651149218787371e-003	-1.543712e-002
1.658473437537371e-003	-1.342293e-002
1.665797656287371e-003	-1.144955e-002
1.673121875037371e-003	-9.516975e-003
1.680446093787371e-003	-7.625209e-003
1.684980133965942e-003	-6.497044e-003
1.689514174144513e-003	-5.398689e-003
1.694048214323085e-003	-4.330142e-003
1.698582254501656e-003	-3.291405e-003
1.703116294680227e-003	-2.282477e-003
1.707650334858799e-003	-1.303358e-003
1.712184375037370e-003	-3.540480e-004
1.714625781287370e-003	1.421309e-004
1.717067187537370e-003	6.286300e-004
1.719508593787370e-003	1.105349e-003
1.721950000037370e-003	1.572197e-003
1.726832812537370e-003	2.475946e-003
1.731715625037370e-003	3.339288e-003
1.736598437537369e-003	4.161755e-003
1.743922656287369e-003	5.318061e-003
1.751246875037369e-003	6.380875e-003
1.758571093787369e-003	7.349982e-003
1.769731808073083e-003	8.626814e-003
1.780892522358797e-003	9.708786e-003
1.792053236644511e-003	1.059590e-002
1.803213950930225e-003	1.128815e-002
1.814374665215939e-003	1.178554e-002
1.825535379501653e-003	1.208807e-002
1.836696093787367e-003	1.219574e-002
1.846461718787367e-003	1.215814e-002
1.856227343787367e-003	1.203396e-002
1.865992968787367e-003	1.182320e-002
1.875758593787366e-003	1.152586e-002
1.885524218787366e-003	1.114194e-002
1.895289843787366e-003	1.067144e-002
1.905055468787366e-003	1.011437e-002
1.913774776823080e-003	9.578704e-003
1.922494084858794e-003	9.023134e-003
1.931213392894508e-003	8.447654e-003
1.939932700930222e-003	7.852266e-003
1.948652008965936e-003	7.236967e-003
1.957371317001651e-003	6.601760e-003
1.966090625037365e-003	5.946644e-003
1.973763616108793e-003	5.375684e-003
1.981436607180222e-003	4.814537e-003
1.989109598251650e-003	4.263203e-003
1.996782589323078e-003	3.721681e-003
2.004455580394506e-003	3.189971e-003
2.012128571465935e-003	2.668074e-003
2.019801562537363e-003	2.155989e-003
2.025381919680221e-003	1.797886e-003
2.030962276823077e-003	1.451244e-003
2.036542633965935e-003	1.116062e-003
2.042122991108791e-003	7.923423e-004
2.047703348251649e-003	4.800835e-004
2.053283705394505e-003	1.792857e-004
2.058864062537363e-003	-1.100509e-004
2.063746875037362e-003	-3.516049e-004
2.068629687537362e-003	-5.830842e-004
2.075953906287362e-003	-9.110820e-004
2.083278125037362e-003	-1.215671e-003
2.090602343787362e-003	-1.496597e-003
2.097926562537362e-003	-1.753743e-003
2.109436049144504e-003	-2.104428e-003
2.120945535751647e-003	-2.402073e-003
2.132455022358789e-003	-2.646681e-003
2.143964508965932e-003	-2.838249e-003
2.155473995573075e-003	-2.976779e-003
2.166983482180218e-003	-3.062271e-003
2.178492968787360e-003	-3.094723e-003
2.188607366108788e-003	-3.086910e-003
2.198721763430217e-003	-3.055584e-003
2.208836160751645e-003	-3.000746e-003
2.218950558073073e-003	-2.922397e-003
2.229064955394502e-003	-2.820535e-003
2.239179352715930e-003	-2.695162e-003
2.249293750037359e-003	-2.546277e-003
2.258361830394501e-003	-2.402709e-003
2.267429910751644e-003	-2.254166e-003
2.276497991108786e-003	-2.100648e-003
2.285566071465929e-003	-1.942155e-003
2.294634151823072e-003	-1.778686e-003
2.303702232180215e-003	-1.610243e-003
2.312770312537357e-003	-1.436824e-003
2.321140848251643e-003	-1.278828e-003
2.329511383965928e-003	-1.124408e-003
2.337881919680214e-003	-9.735637e-004
2.346252455394499e-003	-8.262959e-004
2.354622991108785e-003	-6.826042e-004
2.362993526823070e-003	-5.424887e-004
2.371364062537356e-003	-4.059494e-004
2.382176004501641e-003	-2.396632e-004
2.392987946465927e-003	-8.581600e-005
2.403799888430213e-003	5.559233e-005
2.414611830394498e-003	1.845617e-004
2.425423772358783e-003	3.010923e-004
2.436235714323069e-003	4.051839e-004
2.447047656287354e-003	4.968366e-004
2.456813281287354e-003	5.675808e-004
2.462393638430211e-003	6.031159e-004
2.467973995573068e-003	6.354037e-004
2.473554352715925e-003	6.644440e-004
2.479134709858782e-003	6.902370e-004
2.484715067001639e-003	7.127826e-004
2.490295424144496e-003	7.320807e-004
2.495875781287353e-003	7.481315e-004
2.498317187537353e-003	7.543278e-004
2.500000000000000e-003	7.583358e-004
