time	V(n001)	V(n002)	I(L1)	I(L2)
2.865180264535987e-001	4.934615e-001	1.397308e+000	3.501863e-002	1.031687e-002
2.967580264536089e-001	4.856922e-001	1.411783e+000	2.564090e-002	1.111626e-002
3.069980264536192e-001	4.803484e-001	1.418681e+000	1.608644e-002	1.192173e-002
3.075837407393340e-001	4.801169e-001	1.418844e+000	1.553668e-002	1.196790e-002
3.081694550250489e-001	4.798934e-001	1.418982e+000	1.498675e-002	1.201407e-002
3.087551693107638e-001	4.796780e-001	1.419095e+000	1.443664e-002	1.206024e-002
3.093408835964787e-001	4.794706e-001	1.419182e+000	1.388636e-002	1.210642e-002
3.099265978821935e-001	4.792713e-001	1.419245e+000	1.333591e-002	1.215260e-002
3.105123121679084e-001	4.790801e-001	1.419282e+000	1.278529e-002	1.219878e-002
3.110980264536233e-001	4.788969e-001	1.419294e+000	1.223449e-002	1.224496e-002
3.172380264536294e-001	4.774622e-001	1.417906e+000	6.458438e-003	1.272894e-002
3.182208835964875e-001	4.773149e-001	1.417427e+000	5.534043e-003	1.280636e-002
3.192037407393457e-001	4.771903e-001	1.416876e+000	4.610248e-003	1.288374e-002
3.201865978822038e-001	4.770883e-001	1.416256e+000	3.687056e-003	1.296109e-002
3.211694550250620e-001	4.770090e-001	1.415564e+000	2.764466e-003	1.303839e-002
3.221523121679201e-001	4.769524e-001	1.414802e+000	1.842477e-003	1.311566e-002
3.231351693107782e-001	4.769185e-001	1.413969e+000	9.210904e-004	1.319289e-002
3.241180264536363e-001	4.769072e-001	1.413065e+000	3.054304e-007	1.327008e-002
3.274780264536397e-001	4.770391e-001	1.409443e+000	-3.139182e-003	1.353353e-002
3.289394550250697e-001	4.771790e-001	1.407610e+000	-4.501152e-003	1.364792e-002
3.304008835964997e-001	4.773683e-001	1.405623e+000	-5.859345e-003	1.376213e-002
3.318623121679298e-001	4.776069e-001	1.403481e+000	-7.213763e-003	1.387615e-002
3.333237407393598e-001	4.778949e-001	1.401186e+000	-8.564405e-003	1.398998e-002
3.347851693107898e-001	4.782322e-001	1.398736e+000	-9.911270e-003	1.410362e-002
3.362465978822199e-001	4.786189e-001	1.396133e+000	-1.125436e-002	1.421708e-002
3.377080264536499e-001	4.790549e-001	1.393375e+000	-1.259367e-002	1.433036e-002
3.377180264536499e-001	4.790581e-001	1.393356e+000	-1.260282e-002	1.433113e-002
3.479580264536601e-001	4.834716e-001	1.369788e+000	-2.183028e-002	1.511744e-002
3.581980264536704e-001	4.902065e-001	1.338960e+000	-3.072186e-002	1.588827e-002
3.684380264536806e-001	4.991643e-001	1.301169e+000	-3.918139e-002	1.663956e-002
3.786780264536909e-001	5.102226e-001	1.256783e+000	-4.711723e-002	1.736746e-002
3.889180264537011e-001	5.232363e-001	1.206239e+000	-5.444325e-002	1.806833e-002
3.991580264537114e-001	5.380387e-001	1.150038e+000	-6.107971e-002	1.873882e-002
4.093980264537216e-001	5.544440e-001	1.088738e+000	-6.695411e-002	1.937585e-002
4.196380264537318e-001	5.722487e-001	1.022951e+000	-7.200195e-002	1.997671e-002
4.298780264537421e-001	5.912337e-001	9.533362e-001	-7.616740e-002	2.053902e-002
4.401180264537523e-001	6.111671e-001	8.805901e-001	-7.940388e-002	2.106080e-002
4.503580264537626e-001	6.318061e-001	8.054428e-001	-8.167457e-002	2.154048e-002
4.605980264537728e-001	6.528997e-001	7.286480e-001	-8.295278e-002	2.197690e-002
4.708380264537830e-001	6.741918e-001	6.509765e-001	-8.322223e-002	2.236935e-002
4.810780264537933e-001	6.954229e-001	5.732071e-001	-8.247720e-002	2.271755e-002
4.913180264538035e-001	7.163339e-001	4.961195e-001	-8.072267e-002	2.302166e-002
5.015580264538051e-001	7.366681e-001	4.204850e-001	-7.797414e-002	2.328230e-002
5.117980264537585e-001	7.561740e-001	3.470592e-001	-7.425760e-002	2.350050e-002
5.220380264537119e-001	7.746084e-001	2.765740e-001	-6.960917e-002	2.367773e-002
5.322780264536653e-001	7.917383e-001	2.097295e-001	-6.407475e-002	2.381587e-002
5.337394550250872e-001	7.940652e-001	2.005211e-001	-6.321528e-002	2.383251e-002
5.352008835965091e-001	7.963589e-001	1.914067e-001	-6.233951e-002	2.384841e-002
5.366623121679310e-001	7.986194e-001	1.823864e-001	-6.144744e-002	2.386360e-002
5.381237407393530e-001	8.008467e-001	1.734602e-001	-6.053907e-002	2.387806e-002
5.395851693107749e-001	8.030407e-001	1.646281e-001	-5.961439e-002	2.389180e-002
5.410465978821968e-001	8.052016e-001	1.558900e-001	-5.867341e-002	2.390481e-002
5.425080264536187e-001	8.073294e-001	1.472460e-001	-5.771613e-002	2.391709e-002
5.425180264536187e-001	8.073438e-001	1.471873e-001	-5.770953e-002	2.391717e-002
5.439794550250406e-001	8.094359e-001	1.386446e-001	-5.673645e-002	2.392876e-002
5.454408835964625e-001	8.114908e-001	1.302080e-001	-5.574846e-002	2.393967e-002
5.469023121678844e-001	8.135085e-001	1.218775e-001	-5.474555e-002	2.394992e-002
5.483637407393064e-001	8.154890e-001	1.136531e-001	-5.372773e-002	2.395949e-002
5.498251693107283e-001	8.174324e-001	1.055349e-001	-5.269499e-002	2.396840e-002
5.512865978821502e-001	8.193385e-001	9.752271e-002	-5.164733e-002	2.397665e-002
5.527480264535721e-001	8.212075e-001	8.961666e-002	-5.058475e-002	2.398422e-002
5.527580264535721e-001	8.212201e-001	8.956297e-002	-5.057744e-002	2.398427e-002
5.542194550249940e-001	8.230496e-001	8.176981e-002	-4.950055e-002	2.399120e-002
5.556808835964159e-001	8.248383e-001	7.409365e-002	-4.841030e-002	2.399753e-002
5.571423121678378e-001	8.265862e-001	6.653452e-002	-4.730666e-002	2.400325e-002
5.586037407392598e-001	8.282932e-001	5.909241e-002	-4.618966e-002	2.400837e-002
5.600651693106817e-001	8.299594e-001	5.176731e-002	-4.505928e-002	2.401288e-002
5.615265978821036e-001	8.315848e-001	4.455923e-002	-4.391553e-002	2.401679e-002
5.629880264535255e-001	8.331694e-001	3.746817e-002	-4.275841e-002	2.402010e-002
5.629980264535255e-001	8.331801e-001	3.742009e-002	-4.275045e-002	2.402012e-002
5.644594550249474e-001	8.347217e-001	3.045231e-002	-4.158065e-002	2.402285e-002
5.659208835963693e-001	8.362194e-001	2.361121e-002	-4.039915e-002	2.402504e-002
5.673823121677912e-001	8.376730e-001	1.689680e-002	-3.920597e-002	2.402670e-002
5.688437407392132e-001	8.390826e-001	1.030907e-002	-3.800110e-002	2.402782e-002
5.703051693106351e-001	8.404482e-001	3.848033e-003	-3.678454e-002	2.402841e-002
5.717665978820570e-001	8.417697e-001	-2.486322e-003	-3.555629e-002	2.402847e-002
5.732280264534789e-001	8.430472e-001	-8.693991e-003	-3.431635e-002	2.402799e-002
5.732380264534789e-001	8.430558e-001	-8.735996e-003	-3.430783e-002	2.402798e-002
5.746994550249008e-001	8.442874e-001	-1.481128e-002	-3.305698e-002	2.402700e-002
5.761608835963227e-001	8.454722e-001	-2.075156e-002	-3.179624e-002	2.402555e-002
5.776223121677446e-001	8.466101e-001	-2.655682e-002	-3.052562e-002	2.402365e-002
5.790837407391666e-001	8.477013e-001	-3.222707e-002	-2.924512e-002	2.402128e-002
5.805451693105885e-001	8.487457e-001	-3.776231e-002	-2.795473e-002	2.401846e-002
5.820065978820104e-001	8.497433e-001	-4.316254e-002	-2.665447e-002	2.401517e-002
5.834680264534323e-001	8.506941e-001	-4.842775e-002	-2.534431e-002	2.401142e-002
5.834780264534323e-001	8.507005e-001	-4.846328e-002	-2.533532e-002	2.401140e-002
5.849394550248542e-001	8.516028e-001	-5.358841e-002	-2.401614e-002	2.400722e-002
5.864008835962761e-001	8.524561e-001	-5.857163e-002	-2.268898e-002	2.400267e-002
5.878623121676980e-001	8.532602e-001	-6.341294e-002	-2.135385e-002	2.399773e-002
5.893237407391200e-001	8.540153e-001	-6.811234e-002	-2.001075e-002	2.399242e-002
5.907851693105419e-001	8.547213e-001	-7.266982e-002	-1.865967e-002	2.398672e-002
5.922465978819638e-001	8.553782e-001	-7.708540e-002	-1.730062e-002	2.398064e-002
5.937080264533857e-001	8.559861e-001	-8.135906e-002	-1.593360e-002	2.397418e-002
5.937180264533857e-001	8.559901e-001	-8.138779e-002	-1.592423e-002	2.397413e-002
5.951794550248076e-001	8.565474e-001	-8.551515e-002	-1.455015e-002	2.396732e-002
5.966408835962295e-001	8.570538e-001	-8.949519e-002	-1.317009e-002	2.396022e-002
5.981023121676514e-001	8.575093e-001	-9.332793e-002	-1.178406e-002	2.395281e-002
5.995637407390734e-001	8.579140e-001	-9.701336e-002	-1.039204e-002	2.394511e-002
6.010251693104953e-001	8.582679e-001	-1.005515e-001	-8.994048e-003	2.393711e-002
6.024865978819172e-001	8.585708e-001	-1.039423e-001	-7.590077e-003	2.392880e-002
6.039480264533391e-001	8.588229e-001	-1.071858e-001	-6.180127e-003	2.392020e-002
6.039580264533391e-001	8.588244e-001	-1.072075e-001	-6.170467e-003	2.392014e-002
6.048665978819063e-001	8.589547e-001	-1.091473e-001	-5.291634e-003	2.391467e-002
6.057751693104737e-001	8.590649e-001	-1.110289e-001	-4.411134e-003	2.390912e-002
6.066837407390410e-001	8.591550e-001	-1.128523e-001	-3.528966e-003	2.390347e-002
6.075923121676082e-001	8.592251e-001	-1.146176e-001	-2.645131e-003	2.389774e-002
6.085008835961755e-001	8.592750e-001	-1.163246e-001	-1.759627e-003	2.389191e-002
6.094094550247429e-001	8.593049e-001	-1.179735e-001	-8.724566e-004	2.388600e-002
6.103180264533101e-001	8.593147e-001	-1.195641e-001	1.638182e-005	2.388000e-002
6.108708835961647e-001	8.593108e-001	-1.205032e-001	5.578623e-004	2.387631e-002
6.114237407390194e-001	8.592993e-001	-1.214206e-001	1.099811e-003	2.387259e-002
6.119765978818740e-001	8.592804e-001	-1.223161e-001	1.642229e-003	2.386885e-002
6.125294550247287e-001	8.592539e-001	-1.231900e-001	2.185114e-003	2.386508e-002
6.130823121675832e-001	8.592200e-001	-1.240420e-001	2.728469e-003	2.386129e-002
6.136351693104379e-001	8.591785e-001	-1.248723e-001	3.272292e-003	2.385746e-002
6.141880264532925e-001	8.591295e-001	-1.256809e-001	3.816583e-003	2.385361e-002
6.141980264532925e-001	8.591286e-001	-1.256953e-001	3.826431e-003	2.385354e-002
6.156594550247144e-001	8.589626e-001	-1.277269e-001	5.267822e-003	2.384322e-002
6.171208835961363e-001	8.587438e-001	-1.296050e-001	6.711035e-003	2.383278e-002
6.185823121675582e-001	8.584721e-001	-1.313298e-001	8.156070e-003	2.382220e-002
6.200437407389802e-001	8.581476e-001	-1.329011e-001	9.602928e-003	2.381150e-002
6.215051693104021e-001	8.577702e-001	-1.343191e-001	1.105161e-002	2.380067e-002
6.229665978818240e-001	8.573399e-001	-1.355837e-001	1.250211e-002	2.378971e-002
6.244280264532459e-001	8.568568e-001	-1.366948e-001	1.395444e-002	2.377862e-002
6.244380264532459e-001	8.568532e-001	-1.367019e-001	1.396437e-002	2.377855e-002
6.258380264532395e-001	8.563401e-001	-1.376205e-001	1.535632e-002	2.376785e-002
6.272380264532331e-001	8.557783e-001	-1.383977e-001	1.674804e-002	2.375712e-002
6.286380264532268e-001	8.551678e-001	-1.390336e-001	1.813953e-002	2.374634e-002
6.300380264532204e-001	8.545086e-001	-1.395282e-001	1.953078e-002	2.373553e-002
6.314380264532140e-001	8.538007e-001	-1.398814e-001	2.092181e-002	2.372468e-002
6.328380264532076e-001	8.530441e-001	-1.400932e-001	2.231261e-002	2.371379e-002
6.342380264532013e-001	8.522388e-001	-1.401637e-001	2.370317e-002	2.370287e-002
6.346780264531993e-001	8.519756e-001	-1.401567e-001	2.413977e-002	2.369944e-002
