Freq.	V(out)
2.24812332529600e+001	(-2.28572523014194e-003dB,-1.61928870148120e+000°)
2.26544469767245e+001	(-2.31252839348631e-003dB,-1.63176334224640e+000°)
2.28289952800364e+001	(-2.33974609012034e-003dB,-1.64433405872758e+000°)
2.30048884455831e+001	(-2.36738472982750e-003dB,-1.65700159026041e+000°)
2.31821368352781e+001	(-2.39545082143996e-003dB,-1.66976668185580e+000°)
2.33607508908716e+001	(-2.42395097440689e-003dB,-1.68263008424320e+000°)
2.35407411345656e+001	(-2.45289190033022e-003dB,-1.69559255391406e+000°)
2.37221181696336e+001	(-2.48228041454586e-003dB,-1.70865485316579e+000°)
2.39048926810453e+001	(-2.51212343770020e-003dB,-1.72181775014593e+000°)
2.40890754360963e+001	(-2.54242799743881e-003dB,-1.73508201889667e+000°)
2.42746772850420e+001	(-2.57320122997170e-003dB,-1.74844843939976e+000°)
2.44617091617372e+001	(-2.60445038186649e-003dB,-1.76191779762165e+000°)
2.46501820842798e+001	(-2.63618281158323e-003dB,-1.77549088555908e+000°)
2.48401071556603e+001	(-2.66840599139427e-003dB,-1.78916850128489e+000°)
2.50314955644156e+001	(-2.70112750899763e-003dB,-1.80295144899428e+000°)
2.52243585852881e+001	(-2.73435506936105e-003dB,-1.81684053905133e+000°)
2.54187075798902e+001	(-2.76809649652673e-003dB,-1.83083658803592e+000°)
2.56145539973733e+001	(-2.80235973544718e-003dB,-1.84494041879095e+000°)
2.58119093751022e+001	(-2.83715285383764e-003dB,-1.85915286046992e+000°)
2.60107853393354e+001	(-2.87248404409725e-003dB,-1.87347474858491e+000°)
2.62111936059090e+001	(-2.90836162521694e-003dB,-1.88790692505486e+000°)
2.64131459809280e+001	(-2.94479404469626e-003dB,-1.90245023825419e+000°)
2.66166543614609e+001	(-2.98178988063696e-003dB,-1.91710554306187e+000°)
2.68217307362408e+001	(-3.01935784362752e-003dB,-1.93187370091074e+000°)
2.70283871863722e+001	(-3.05750677886042e-003dB,-1.94675557983725e+000°)
2.72366358860419e+001	(-3.09624566825262e-003dB,-1.96175205453158e+000°)
2.74464891032366e+001	(-3.13558363240224e-003dB,-1.97686400638809e+000°)
2.76579592004656e+001	(-3.17552993292568e-003dB,-1.99209232355618e+000°)
2.78710586354892e+001	(-3.21609397446420e-003dB,-2.00743790099145e+000°)
2.80857999620521e+001	(-3.25728530700900e-003dB,-2.02290164050734e+000°)
2.83021958306235e+001	(-3.29911362806183e-003dB,-2.03848445082707e+000°)
2.85202589891421e+001	(-3.34158878495694e-003dB,-2.05418724763596e+000°)
2.87400022837670e+001	(-3.38472077718819e-003dB,-2.07001095363419e+000°)
2.89614386596346e+001	(-3.42851975870955e-003dB,-2.08595649858990e+000°)
2.91845811616213e+001	(-3.47299604033433e-003dB,-2.10202481939267e+000°)
2.94094429351116e+001	(-3.51816009216661e-003dB,-2.11821686010743e+000°)
2.96360372267730e+001	(-3.56402254604947e-003dB,-2.13453357202871e+000°)
2.98643773853360e+001	(-3.61059419809270e-003dB,-2.15097591373536e+000°)
3.00944768623804e+001	(-3.65788601114891e-003dB,-2.16754485114556e+000°)
3.03263492131284e+001	(-3.70590911739697e-003dB,-2.18424135757234e+000°)
3.05600080972421e+001	(-3.75467482101681e-003dB,-2.20106641377945e+000°)
3.07954672796292e+001	(-3.80419460075153e-003dB,-2.21802100803761e+000°)
